ID,Nome,Descrição,Desenvolvedor,Publicador,Data de lançamento,Gênero
2266820,Lilith Wants to Buy Your Soul,Take a personality test with a definitely-not-clingy demon girl.,Pyon Pyon Platinum,Pyon Pyon Platinum,Coming soon,Free to Play
2266840,人世间：海岛,This is an nervous stimulation survival game，made by Unreal Engine 5，Developed for 人世间工作室，This game is well made（No money to develop），novel gameplay（general gameplay），Story rich（old story），It is the game you will also （never） open even if you are bored.,人世间游戏工作室,人世间游戏工作室,Coming soon,Adventure
2266850,Senpai Puzzle: Waifu Summer,"Senpai Puzzle: Waifu Summer is a FREE sliding puzzle game with beautiful Summer Waifus! 10 free Waifus just for you, all in 4k! After unlocking your Waifus, check them out in the gallery to get a closer look while listening to some chill lofi music!",Kink Master Studios,Kink Master Studios,"27 Feb, 2023",Casual
2266860,Logic - Keypad Demo,"Puzzle game with numbers. Observe, find and combine clues to open doors. No horror. No storyline. Just Logic!",NguyeZ,NguyeZ,"6 Jan, 2023",N/A
2266870,Valley of the old Masters,"Since the discovery of the tablet of the Old Masters, the world is in the midst of the winds of change and the future is full of uncertainty. As a wandering artist, your journey takes you to a mystical valley. Will you find inspiration for your art there?",Mika Pehkonen,Mika Pehkonen,2024,Adventure
2266880,Senpai Puzzle: Waifu Summer - Background Waifus Pack,Add 17 new background Summer Waifus for a total of 19!,Kink Master Studios,Kink Master Studios,"27 Feb, 2023",Casual
2266890,BECROWNED,"Surreal survival horror set in a world between reality and dreams. Unravel all the mysteries of this dark world, escape your fears, and explore a terrifying world where fire no longer burns.",Ernest Anpilov,Ernest Anpilov,To be announced,Action
2266910,Chinese Expeditionary Force - Assault Team,"Chinese Expeditionary Force - Assault Team is a tactical stealth game set in the expedition of the Chinese Expeditionary Force to Burma during World War II. The assault team consists of five characters, each with their own special skills. You can use different strategies to complete the mission.",The Hard Game,The Hard Game,"27 Mar, 2023",Indie
2266920,Far Far Away,Fast Paced Arena Combat with stylized Graphics. With Two game mode -Battle Mode -Puzzle Mode,Gamereon,Gamereon,"30 Jan, 2023",Action
2266950,Angel Legion-DLC Cute Regular(Red),"Embark on your adventure with player from all over the world! Lead your Angel team to reveal the ancient mysteries of Galaxy…… Welcome to Angel legion, a free RPG gacha game with good fun!",Shanghai SilverMoon Network Technology Co.Ltd,Shanghai SilverMoon Network Technology Co.Ltd,"5 Jan, 2023",Adventure
2267010,Kong Hero,‘Kong Hero’ is a 2D platform jumping game with cartoon style. The player controls a cute little monkey through many difficulties and finally reaches the destination.,wxm,wxm,"18 Jan, 2023",Adventure
2267020,RocketJumpCascade Demo,Rocket Jump Cascade is a fps platformer where you use your rocket launcher to jump your way through mysterious hubs,Jamacanbacn,Jamacanbacn,"8 Feb, 2023",N/A
2267070,COSMIC HOLES,"COSMIC HOLES is a logic puzzle game based on the 5 elements of Chinese cosmology: Wood, Fire, Earth, Metal, and Water. Solve and maintain the balance of the elements in an environment that adapts to your own energy. Relaxing and explosive!",Fabien Corblin,Fabien Corblin,"13 Mar, 2023",Indie
2267100,Animal Kingdom,"Welcome to Animal Kingdom, a hidden animal game where you collect pawprints, cameras and coins while searching animals in fantastic locations! With 3 game modes and trivias between the chapters, Animal Kingdom will provide hours of fun for Hidden Object fans in surreal settings!",Seven Sails Games,Seven Sails Games,"15 Feb, 2023",Casual
2267110,Johnny Lionface Soundtrack,Soundtrack for Johnny Lionface.,Myroid-Type Comics,Myroid-Type Comics,"20 Feb, 2023",N/A
2267120,Sudoku Vacation,"Play through more than 400 levels of Sudoku in 3 variants. Asterisk, Girandola and Center dot!",Seven Sails Games,Seven Sails Games,"16 Feb, 2023",Casual
2267130,Deltatile Demo,,Rare Toad Studio,Rare Toad Studio,"6 Jan, 2023",N/A
2267140,A look into...,"In a peaceful yet mysterious world, you discover a myriad of wildlife, collect materials and recipes to help the communities you encounter, find new skins for yourself and maybe figure out what is going on in this strange land, and your role in it all.",Julian Thompson,Julian Thompson,To be announced,Casual
2267170,Vradark's Revenge,“Vradark’s Revenge” is a fantasy game in the Action RPG genre.,Sanchez Crew,Drunk Fly Oy,"26 Jan, 2023",Action
